香港,#genre#
凤凰中文台HD,http://live.tvfix.org/hls/fhzw.m3u8#http://iptv.tvfix.org/hls/fhzw.m3u8#http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8#http://39.135.55.72:6610/PLTV/88888888/224/3221227222/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
凤凰资讯台HD,http://live.tvfix.org/hls/fhzx.m3u8#http://iptv.tvfix.org/hls/fhzx.m3u8#http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8#http://39.135.55.72:6610/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰香港台HD,http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8?icpid=88888888&from=0&hms_devid=4344#http://183.207.249.34/PLTV/3/224/3221226975/index.m3u8#http://120.84.96.25:808/hls/81/index.m3u8
凤凰电影台,http://live.tvfix.org/hls/fhdy.m3u8#http://111.59.189.40:8445/tsfile/live/1022_1.m3u8
翡翠台,http://live.tvfix.org/hls/jade.m3u8
J2,http://120.84.96.25:808/hls/86/index.m3u8#https://cdn.hkyoutv.com/hls/82/index.m3u8#https://bf.kanjc.com/11666/11666.m3u8
明珠台,https://cdn.hkyoutv.com/hls/84b/index.m3u8#https://cdn.hkyoutv.com/hls/84/index.m3u8#http://120.84.96.25:808/hls/26/index.m3u8
TVB 星河台,http://gxfrg007.8800.org:8282/tsfile/live/1062_1.m3u8
无线新闻台,https://bcovlive-a.akamaihd.net/38974baa695d47bbb231665ca52b8b3c/us-west-2/5324042807001/playlist.m3u8
无线财经资讯台,http://kkmix1.f3322.net:825/hls/ch2/s.m3u8
ViuTV,http://kkmix1.f3322.net:762/hls/ch1/s.m3u8#https://live.hkanime.com.hk/xxxx/99/index.m3u8#http://radius.8866.org:880/hls/86/index.m3u8#https://cdn.hkyoutv.com/hls/99/index.m3u8#http://50.7.218.42:8278/9ae6d37d9a/playlist.m3u8?tid=m7728dbb8abe7&ct=18336&tsum=6b7f957f06b7cfabd928653808a52514
ViuTV6,http://kkmix1.f3322.net:762/hls/ch2/s.m3u8#http://radius.8866.org:880/hls/85/index.m3u8#https://live.hkanime.com.hk/xxxx/96/index.m3u8
港台RTHK31,https://live.hkanime.com.hk/xxxx/31/index.m3u8#https://cdn.hkyoutv.com/hls/31/index.m3u8
港台RTHK32,https://live.hkanime.com.hk/xxxx/32/index.m3u8#https://cdn.hkyoutv.com/hls/32/index.m3u8
港台RTHK33,https://cdn.hkyoutv.com/hls/33/index.m3u8
国际财经台,https://cdn.hkyoutv.com/hls/76/index.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
开电视,https://cdn.hkyoutv.com/hls/77/index.m3u8
香港卫视,http://cctvtxyh5c.liveplay.myqcloud.com/cstv/xianggangweishi_2/index.m3u8#http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视文旅,https://myun-hw-s3.myun.tv/melj80jz/lxx27bol/1551285536499984128.m3u8

台湾1,#genre#
中天新闻,http://152.69.224.242:9500/jmsytb.m3u8?c=1#https://epg.pm/stream/0309755e914e4484b60b324d50073a9f8fdea72994365100f288ca6c16314c3a.m3u8
中天综合,http://220.134.196.147:9226/http/60.251.39.91:8081/hls/67/809/ch25.m3u8
中天娱乐,http://211.23.114.106:11230/http/60.251.39.91:8081/hls/67/809/ch26.m3u8
东森新闻,http://220.134.196.147:9240/http/60.251.39.91:8081/hls/63/805/ch10.m3u8#http://50.7.220.74:8278/ettvnews/playlist.m3u8?tid=m208c21bf386611408694&ct=17874&tsum=d1b4de373c886cd8015974fa8c5d6d12
东森电影,https://epg.pm/stream/f19641e3ed2f902ba9368a2ce6c61f51bc9c02cdd647b9464fe319b568a69e6f.m3u8
东森洋片台,http://120.84.96.25:808/hls/33/index.m3u8#http://zb.688768.xyz/jiudian/jddb.php?playurl=http://120.84.96.222:808/hls/33/index.m3u8#http://120.84.96.29:808/hls/33/index.m3u8
东森财经新闻,http://38.64.72.148:80/hls/modn/list/2021/chunklist0.m3u8
东森综合,http://220.134.196.147:9224/http/60.251.39.91:8081/hls/63/805/ch12.m3u8
东森幼幼,http://211.23.114.106:11250/http/60.251.39.91:8081/hls/63/805/ch09.m3u8
东森戏剧,http://220.134.196.147:9230/http/60.251.39.91:8081/hls/64/806/ch13.m3u8
东森超视,http://38.64.72.148:80/hls/modn/list/2018/chunklist0.m3u8
东森美洲,http://38.64.72.148:80/hls/modn/list/2026/chunklist0.m3u8
TVBS HD,http://209.141.56.65:80/gtiptv/gtiptv.php?tid=gt&id=95
TVBS新闻台,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8#http://209.141.56.65:80/gtiptv/gtiptv.php?tid=gt&id=54
TVBS欢乐台,http://209.141.56.65:80/gtiptv/gtiptv.php?tid=gt&id=97
TVBS Asia,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
